id,app,category,website_hint,one_line_description,auth_methods,auth_summary,access_model,access_notes,api_surface_type,api_surface_breadth,api_surface_summary,mcp_status,existing_mcp_url,buildability_verdict,main_blocker,evidence_urls,confidence,agent_notes,verified,verification_notes
1,Salesforce,CRM and Sales,salesforce.com,"Market-leading cloud CRM platform for sales, service, and marketing, with an extensible app platform (objects, flows, Apex).",OAuth2,Salesforce REST/GraphQL APIs authorize via OAuth 2.0 through External Client Apps (recommended) or Connected Apps (legacy; new creation restricted as of Spring '26). Multiple OAuth 2.0 flows are offered; token is sent as a Bearer header.,self_serve,"Developers can sign up for a free Developer Edition org, which has API access enabled by default, and create an External Client App / Connected App to get OAuth credentials. However, customer orgs need Enterprise, Performance, Unlimited, or Developer Edition; Professional Edition requires a paid API add-on, and users need the 'API Enabled' permission.",REST_and_GraphQL,broad,"Very broad surface: REST API over all standard and custom objects (CRUD, SOQL query, search, describe), plus GraphQL API, Bulk, Metadata, and Connect REST APIs covering essentially the whole platform.",official_mcp,https://github.com/salesforcecli/mcp,build_with_limits,"End-user orgs must be on API-enabled editions (Enterprise+/Developer; Professional needs a paid add-on), and legacy Connected App creation is being restricted in favor of External Client Apps.",https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_oauth_and_connected_apps.htm; https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest_compatible_editions.htm; https://developer.salesforce.com/docs/platform/graphql/overview; https://github.com/salesforcecli/mcp; https://developer.salesforce.com/docs/platform/hosted-mcp-servers/guide/hosted-mcp-servers-overview.html,high,"Official REST API docs confirm OAuth 2.0 only (via external client apps / connected apps); Salesforce offers several OAuth 2.0 flows (including a JWT bearer flow, which is still OAuth2). Notable shift: connected app creation is restricted as of Spring '26 in favor of External Client Apps, which any Composio integration setup docs should reflect. Salesforce also ships official MCP support broadly (DX MCP server on GitHub, plus Salesforce-hosted MCP servers GA for Enterprise Edition and above).",False,
2,HubSpot,CRM and Sales,hubspot.com,"All-in-one CRM platform for marketing, sales, service, and content, with a free tier and extensive automation features.",OAuth2; Private app token,HubSpot APIs support exactly two methods: OAuth 2.0 (required for public/multi-account apps and Marketplace listings) and private app access tokens for single-account integrations; both are sent as Authorization: Bearer headers. Legacy API keys were retired in 2022.,self_serve,"Fully self-serve: create a free HubSpot CRM account and generate a private app access token in settings, or create a free developer account to register an OAuth app. No paid plan or approval needed for basic API access, though some endpoints require paid Hub tiers.",REST,broad,"Broad REST API covering CRM objects (contacts, companies, deals, tickets, custom objects), engagements/activities, CRM search, marketing, CMS, conversations, and more; now on a date-based versioning scheme (e.g., /crm/objects/2026-03/contacts).",official_mcp,https://developers.hubspot.com/ai-tools/mcp,build_now,none,https://developers.hubspot.com/docs/apps/legacy-apps/authentication/intro-to-auth; https://developers.hubspot.com/docs/api-reference/latest/overview; https://developers.hubspot.com/ai-tools/mcp; https://developers.hubspot.com/docs/apps/developer-platform/build-apps/integrate-with-the-remote-hubspot-mcp-server,high,"Cleanest case of the two: self-serve free account, two well-documented auth methods, official remote MCP server (OAuth with PKCE) plus a local developer MCP server. Caveats: OAuth access tokens are short-lived (~30 min, refresh-token based), rate limits vary by plan, and some API areas (e.g., certain marketing/CMS features) are gated behind paid Hub tiers. HubSpot is migrating API reference to a new date-based versioning scheme, so endpoint paths in older docs differ from the latest reference.",False,
3,Pipedrive,CRM and Sales,pipedrive.com,"Sales-focused CRM for managing deals, pipelines, contacts, and sales activities.",OAuth2; API key,Official docs confirm two methods: OAuth 2.0 (authorization code flow with scopes; client_id/client_secret issued when you create an app in Developer Hub) and a per-user API token passed in the x-api-token header. The API token is tied to one user/company and only one can be active at a time.,self_serve,"Free developer sandbox account is self-serve; Developer Hub lets you create a draft app and immediately get client_id/client_secret. API tokens are available to any Pipedrive user from account settings. Public Marketplace listing requires app review, but private/unlisted apps and direct API-token integrations do not.",REST,broad,"Mature REST API (v1 plus newer v2 endpoints) covering deals, leads, persons, organizations, activities, products, pipelines/stages, notes, files, users, custom fields, and webhooks.",official_mcp,https://support.pipedrive.com/en/article/mcp,build_now,none,https://pipedrive.readme.io/docs/core-api-concepts-authentication; https://pipedrive.readme.io/docs/developer-sandbox-account; https://pipedrive.readme.io/docs/marketplace-app-approval-process; https://support.pipedrive.com/en/article/mcp; https://www.pipedrive.com/en/newsroom/pipedrive-launches-native-mcp-server-bringing-crm-workflows-directly-into-ai-assistants,high,"Fetched official auth docs directly. Pipedrive launched a native (official) MCP server on June 30, 2026, available on all plans via OAuth. Only caveat for Composio: a public Marketplace-listed OAuth app must pass Pipedrive's review process, though private apps and API-token access skip it. Composio already lists a Pipedrive toolkit.",False,
4,Attio,CRM and Sales,attio.com,"Modern, data-model-flexible CRM for managing companies, people, deals, and custom objects.",OAuth2; API key; Bearer token,Attio's REST API accepts a workspace API key (generated in Workspace Settings > Developers) or an OAuth 2.0 authorization-code flow for third-party apps; either credential is sent as an Authorization: Bearer token on every request.,self_serve,Any workspace admin can self-serve an API key from Workspace Settings (free plan available); OAuth apps are registered by developers and documented with a public token endpoint and OAuth tutorial — no partner program or sales contact found.,REST,broad,"Public REST API (JSON over HTTPS) covering the full CRM data model: objects (standard and custom), records, lists/entries, attributes, notes, tasks, comments, webhooks, and workspace members.",official_mcp,https://docs.attio.com/mcp/overview,build_now,none,https://docs.attio.com/rest-api/overview; https://docs.attio.com/rest-api/tutorials/connect-an-app-through-oauth; https://docs.attio.com/api-reference/oauth-20/token-endpoint; https://attio.com/help/apps/other-apps/generating-an-api-key; https://docs.attio.com/mcp/overview,medium,"Fetched the official REST API overview (confirms public REST API and an OAuth app tutorial); the dedicated authentication page URL I guessed 404'd, so API-key and bearer-token details come from search results citing official Attio docs/help-center pages rather than a page I fetched end-to-end. Attio also ships an official hosted MCP server (OAuth-based, reads auto-approved, writes confirmed). Community MCP servers (e.g. kesslerio/attio-mcp-server) exist as well.",True,Manually verified in QA sample; no corrections needed.
5,Twenty,CRM and Sales,twenty.com open-source CRM,"Open-source, self-hostable CRM (Salesforce alternative) with fully customizable objects, available self-hosted or as a cloud service.",API key; Bearer token,Both REST and GraphQL APIs authenticate with a workspace-generated API key sent as 'Authorization: Bearer YOUR_API_KEY'. Keys are created self-serve in Settings > API & Webhooks and can be scoped to roles; no OAuth2 flow was found in official docs.,self_serve,"Fully self-serve: self-host the open-source app (GitHub twentyhq/twenty) for free, or use Twenty Cloud; in either case any workspace user with settings access creates an API key in Settings > API & Webhooks.",REST_and_GraphQL,broad,"Core API (CRUD on people, companies, opportunities, tasks, notes, and any custom objects, with filtering and relation traversal) plus a Metadata API for programmatically managing objects/fields/relations — both exposed over REST and GraphQL, with per-workspace generated schemas and an interactive playground.",community_mcp,https://github.com/jezweb/twenty-mcp,build_now,none,https://docs.twenty.com/developers/extend/api; https://github.com/twentyhq/twenty; https://github.com/twentyhq/twenty/issues/12953; https://github.com/jezweb/twenty-mcp,high,"Fetched official API docs directly. No official twentyhq MCP repo found — an open GitHub issue (#12953) requests one, and multiple community MCP servers exist (jezweb/twenty-mcp, mhenry3164/twenty-crm-mcp-server, IgorWarzocha/twenty-mcp-server); one search summary claimed Cloud workspaces ship a native MCP server but I could not verify that on docs.twenty.com, so I classified as community_mcp. Toolkit caveats: schema is per-workspace (custom objects mean dynamic tool generation works best), rate limit ~100 req/min, batches capped at 60 records, and self-hosted instances have per-instance base URLs.",False,
6,Podio,CRM and Sales,podio.com,"Progress Podio is a customizable work-management/collaboration platform where teams build no-code apps to track leads, projects, and workflows.",OAuth2,"The Podio API exclusively uses OAuth2 with four flows: server-side (authorization code), client-side (implicit), username/password grant, and an app-authentication flow for single-app access. Access tokens last 8 hours with 28-day refresh tokens, sent as 'Authorization: OAuth2 ACCESS_TOKEN'.",self_serve,"Developers self-serve register an application (API key generator in Podio account settings) to get a Client ID and Client Secret; no partner program or approval process is documented, and Podio offers free/entry plans.",REST,broad,"REST API split into roughly 40+ resource areas: items, applications, tasks, comments, files, hooks (webhooks), organizations, spaces, users, conversations, calendar, search, tags, forms, streams, and more.",official_mcp,https://docs.sharefile.com/en-us/podio/using-podio/general-features/podio-mcp-server.html,build_now,none,https://developers.podio.com/authentication; https://developers.podio.com/doc; https://docs.sharefile.com/en-us/podio/using-podio/general-features/podio-mcp-server.html; https://www.progress.com/blogs/podio-2025-stability-progress-renewed-foundation,high,"Surprise: Podio now has an official remote MCP server at https://mcp.podio.com/mcp with 22 read/write tools (shared default credentials are limited to ~30-40 requests; own API key recommended). Product ownership moved Citrix -> Progress; despite past uncertainty, Progress's 2025 'Year in Review' confirms active investment and a 2026 roadmap, so platform-abandonment risk appears low. The password grant makes headless service auth easy but is discouraged in the docs.",False,
7,Zoho CRM,CRM and Sales,zoho.com/crm,"Zoho CRM is a full-featured sales CRM for managing leads, contacts, deals, and sales automation across the Zoho suite.",OAuth2,Zoho CRM's API uses OAuth 2.0 exclusively; the docs explicitly note clients must not use password auth. Access tokens last one hour with long-lived refresh tokens; a 'Self Client' type supports backend-only apps without a redirect URL.,self_serve,"Fully self-serve: register any of five client types (server-based, client-based, mobile, non-browser, self client) at the Zoho Developer Console (api-console.zoho.com) to get Client ID/Secret. A Zoho CRM account is needed; API call credits scale with the CRM edition, and Zoho operates multiple data centers with region-specific API domains.",REST,broad,"v8 REST API spans Metadata APIs (modules, fields, layouts), Core CRUD APIs on all CRM modules, Composite API (batch up to 5 calls), asynchronous Bulk read/write APIs, Notification (webhook) APIs, and SQL-style Query (COQL) APIs.",official_mcp,https://www.zoho.com/crm/developer/docs/mcp/overview.html,build_now,none,https://www.zoho.com/crm/developer/docs/api/v8/oauth-overview.html; https://www.zoho.com/crm/developer/docs/api/v8/register-client.html; https://www.zoho.com/crm/developer/docs/api/v8/; https://www.zoho.com/mcp/; https://www.zoho.com/crm/developer/docs/mcp/overview.html,high,"Zoho ships official first-party MCP: a suite-wide Zoho MCP product plus four pre-built Zoho CRM MCP servers (OAuth flow on first tool invocation), supporting Claude, Cursor, VS Code, Windsurf. Integration caveats for a toolkit: multi-DC architecture means tokens/endpoints differ by region (.com, .eu, .in, etc.), and API rate limits are credit-based per edition (limits page not fetched directly - noted from general docs structure).",False,
8,Close,CRM and Sales,close.com,"Close is a sales-focused CRM with built-in calling, email, and SMS for inside sales teams.",API key; OAuth2,"Close supports API keys ('for scripts') created self-serve under Settings > Developer > API Keys, and OAuth 2.0 for user-facing integrations (including OAuth 2.0 Dynamic Client Registration on its MCP server). The MCP server also accepts a Close-API-Key header with a Close-Scope header (mcp.read / mcp.write_safe / mcp.write_destructive).",trial_or_free_but_limited,"API keys are self-serve from account settings (Settings > Developer > API Keys), but Close is a paid product with a free trial and no permanent free tier; docs mention creating OAuth apps and getting listed, and direct some partner/API inquiries to support@close.com.",REST,broad,"REST API covering leads, contacts, opportunities, activities (calls/emails/SMS), custom fields/objects, sequences, bulk email/SMS actions, webhooks, event logs, and reporting metrics.",official_mcp,https://developer.close.com/mcp,build_now,none,https://developer.close.com/; https://developer.close.com/mcp; https://help.close.com/docs/api-keys-oauth; https://help.close.com/docs/mcp-server,high,"Official remote MCP server at https://mcp.close.com/mcp (HTTP Streamable, OAuth 2.0 DCR, officially supported in the Claude ecosystem) with tiered write scopes - a strong signal for agent-readiness. One gap: docs I fetched did not state the exact wire format for API keys on the core REST API (widely known to be HTTP Basic auth with the key as username, but I could not confirm from an official page I saw, so Basic auth is not listed as a distinct method). Plan-level API access restrictions were not specified in fetched docs.",False,
9,Copper,CRM and Sales,copper.com,"CRM (formerly ProsperWorks) built around Google Workspace, managing leads, contacts, companies, opportunities, and pipelines directly from Gmail.",API key; OAuth2,"API keys are self-generated in the Copper web app (System settings > API Keys) and sent as X-PW-AccessToken + X-PW-UserEmail headers on every request. OAuth2 Authorization Code flow is supported for partner integrations, but registering an OAuth client requires emailing partners@copper.com — it is not self-serve.",trial_or_free_but_limited,"API keys are self-serve inside any Copper account, but the Web API is only available on trial, Professional, and Business plans (not Starter/Basic). A free 14-day trial grants API access; OAuth client_id/client_secret requires contacting Copper's partner team (partners@copper.com).",REST,broad,"REST API (v1, JSON) at api.copper.com/developer_api/v1 covering leads (incl. bulk ops and conversion), people, companies, opportunities, projects, tasks, activities, tags, custom fields, field layouts, related items, file upload, users/account, and webhooks.",community_mcp,https://www.apideck.com/mcp-server/copper,build_with_limits,"OAuth2 app registration is gated behind emailing partners@copper.com, and API access requires a Professional+ (or trial) plan; API-key auth itself is fully self-serve.",https://developer.copper.com/; https://developer.copper.com/introduction/authentication.html; https://developer.copper.com/introduction/oauth/quickstart.html; https://support.copper.com/en/articles/8823462-api-docs-and-tips; https://www.apideck.com/mcp-server/copper; https://developer.copper.com/introduction/requests.html,high,"Fetched official developer docs directly. Copper's unusual header-pair auth (X-PW-AccessToken + X-PW-UserEmail) reflects its ProsperWorks legacy. No official Copper MCP found; multiple community/aggregator MCPs exist (Apideck, Pipedream, viaSocket, n8n, SyncHub). Rate limits not documented on the pages fetched. Note developer.copper.co (different TLD) is an unrelated crypto company — easy to confuse.",True,Manually verified in QA sample; no corrections needed.
10,DealCloud,CRM and Sales,api.docs.dealcloud.com,"Intapp DealCloud is a deal and relationship management platform (CRM + pipeline + relationship intelligence) for private equity, investment banking, and other financial services firms.",OAuth2; API key; Bearer token,OAuth2 Client Credentials flow: a user's API key (enabled in their DealCloud profile after an admin grants the 'API' site-area capability) is exchanged along with client_id and scopes at the site's token endpoint for a bearer access token that expires after 900 seconds.,contact_sales,"API keys are generated inside a customer's DealCloud site (Admin enables API capability for the user group, then the user enables an API key in their profile). There is no self-serve signup or free developer sandbox — DealCloud is an enterprise contact-sales product (reported ~$85k+/yr), and sandboxes are purchased through an Intapp representative.",REST,broad,"REST APIs covering authentication, user management, schema/metadata discovery, data CRUD (entries, rows, files, reports), backups/exports, publications (real-time event streaming), and relationship-intelligence data import; an official Python SDK is also documented.",no_mcp_found,,needs_partner_or_paid_access,"Credentials only exist inside a paid customer DealCloud instance; no self-serve developer account or public sandbox, so Composio would need a customer/partner relationship with Intapp to build and test.",https://api.docs.dealcloud.com/docs; https://api.docs.dealcloud.com/docs/token; https://api.docs.dealcloud.com/docs/apikeys; https://api.docs.dealcloud.com/sdk/python/authentication; https://www.intapp.com/dealcloud/enterprise-offering/,high,"Official API docs (api.docs.dealcloud.com) are public and detailed, confirming auth flow and REST surface; the blocker is purely access, not documentation. Each customer site has its own domain-specific token endpoint. Pricing figures (~$85k-$1.4M/yr) come from third-party sources (Vendr/G2), not Intapp. No official or community MCP server found in searches or the MCP registry results. The toolkit design would need to handle per-tenant schemas since DealCloud data models are heavily customized per firm.",False,
